id_funcionario,nome,cargo,departamento,obra_atual,data_admissao,salario,idade,sexo,escolaridade,tem_cnh,certificacoes_seguranca,ultimo_treinamento,horas_treinamento_ano,dias_ausencia_mes,acidentes_trabalho,uso_epi_score,avaliacao_performance,status_funcionario,data_demissao,motivo_saida,custo_contratacao,tempo_preenchimento_vaga_dias
1141,Roque Alves,Operador de Caldeira,Operacional,Industrial Norte,2021-01-18,3600,38,M,Técnico,Sim,NR18;NR13,2024-08-22,58,1,0,9.4,8.8,Desligado,2024-09-12,Aposentadoria,5200,35
1142,Eliane Lima,Auxiliar de Farmácia,Técnico,Escritório Central,2023-10-25,2800,29,F,Técnico,Sim,,2024-08-18,35,1,0,10,8.6,Ativo,,,,3800,28
1143,Agenor Santos,Carpinteiro de Formas,Operacional,Residencial Jardins,2022-03-15,3300,43,M,Ensino Médio,Sim,NR18;NR35,2024-08-10,48,1,0,9.1,8.7,Ativo,,,,4300,30
1144,Norma Silva,Coordenadora de Marketing,Administrativo,Escritório Central,2019-07-08,6800,37,F,Superior Completo,Sim,,2024-09-05,50,0,0,10,9.4,Ativo,,,,10500,58
1145,Luiz Antônio,Técnico em Eletrônica Industrial,Técnico,Industrial Norte,2020-11-30,4400,35,M,Técnico,Sim,NR10;NR12,2024-08-25,55,1,0,9.5,8.9,Ativo,,,,6500,42
1146,Eunice Costa,Auxiliar de Recursos Humanos,Administrativo,Escritório Central,2024-01-15,2400,31,F,Superior Incompleto,Não,,2024-08-20,25,2,0,10,8.3,Ativo,,,,3200,25
1147,Waldecy Rocha,Montador Industrial,Operacional,Industrial Norte,2021-06-25,3500,40,M,Ensino Médio,Sim,NR18;NR35,2024-08-15,50,1,0,9.2,8.6,Ativo,,,,4800,32
1148,Cleide Alves,Secretária Executiva,Administrativo,Escritório Central,2018-08-12,4200,39,F,Superior Completo,Sim,,2024-09-08,45,0,0,10,9.2,Ativo,,,,6500,52
1149,Manoel Carlos,Soldador MIG,Operacional,Comercial Centro,2023-04-20,3400,33,M,Técnico,Sim,NR18;NR33,2024-08-12,48,2,0,9.0,8.4,Ativo,,,,4400,22
1150,Carmem Lima,Coordenadora de Comunicação,Administrativo,Escritório Central,2020-02-18,5800,36,F,Superior Completo,Sim,,2024-09-02,48,0,0,10,9.3,Ativo,,,,8800,48
1151,Severiano Santos,Pedreiro,Operacional,Comercial Centro,2024-07-08,2800,30,M,Ensino Fundamental,Sim,NR18,2024-08-28,28,3,0,8.7,7.9,Desligado,2024-09-20,Término Contrato,3500,12
1152,Adelaide Silva,Auxiliar de Contabilidade,Administrativo,Escritório Central,2022-09-12,2900,33,F,Ensino Médio,Não,,2024-08-25,30,1,0,10,8.7,Ativo,,,,3600,32
1153,Ayrton Costa,Técnico em Automação,Técnico,Industrial Norte,2021-12-05,4600,32,M,Técnico,Sim,NR10;NR12,2024-08-30,58,0,0,9.6,9.1,Ativo,,,,6800,40
1154,Vilma Rocha,Coordenadora de Logística,Administrativo,Escritório Central,2019-03-28,6200,42,F,Superior Completo,Sim,,2024-09-05,52,0,0,10,9.4,Ativo,,,,9500,55
1155,Givaldo Alves,Operador de Prensa,Operacional,Industrial Norte,2022-05-18,3000,36,M,Ensino Médio,Sim,NR18;NR12,2024-08-20,42,2,0,9.1,8.3,Ativo,,,,3800,28
1156,Zuleica Lima,Analista de Processos,Técnico,Escritório Central,2020-10-15,5400,35,F,Superior Completo,Sim,,2024-08-28,55,0,0,10,9.3,Ativo,,,,8200,45
1157,Toninho Santos,Ajudante Geral,Operacional,Residencial Jardins,2024-05-12,1900,26,M,Ensino Fundamental,Não,NR18,2024-08-10,20,4,0,8.0,7.2,Ativo,,,,2300,10
1158,Creuzita Silva,Telefonista,Administrativo,Escritório Central,2023-11-20,2100,27,F,Ensino Médio,Não,,2024-08-15,22,3,0,10,8.0,Ativo,,,,2600,18
1159,Washington Costa,Soldador TIG,Operacional,Industrial Norte,2019-06-12,4000,41,M,Técnico,Sim,NR18;NR33;NR35,2024-08-25,62,0,0,9.7,9.0,Ativo,,,,5600,45
1160,Magna Rocha,Gerente de Pessoas,Administrativo,Escritório Central,2017-04-15,8800,43,F,Superior Completo,Sim,,2024-09-10,65,0,0,10,9.7,Ativo,,,,14000,65
